start	end	speaker	confidence	paragNum	paragWordCount	wordPos	text
3330	3880	A	0.77	1	1	1	You.
6810	7270	B	0.53971	2	1	2	Hello
7340	7526	B	1.0	2	2	3	and
7548	8120	B	1.0	2	3	4	welcome.
8650	9014	B	1.0	2	4	5	It
9052	9494	B	1.0	2	5	6	is
9612	10162	B	1.0	2	6	7	September
10226	10562	B	0.86	2	7	8	12,
10626	11862	B	0.97	2	8	9	2023.
11996	12386	B	0.85307	2	9	10	We're
12418	12662	B	0.99999	2	10	11	here
12716	12886	B	0.99999	2	11	12	in
12908	13094	B	1.0	2	12	13	the
13132	13554	B	0.60686	2	13	14	Active
13602	14226	B	0.69865	2	14	15	Inference
14338	14566	B	0.99998	2	15	16	for
14588	14726	B	1.0	2	16	17	the
14748	15030	B	1.0	2	17	18	Social
15100	15618	B	0.99998	2	18	19	Sciences
15714	16118	B	0.73366	2	19	20	course
16204	16406	B	1.0	2	20	21	at
16428	16518	B	1.0	2	21	22	the
16524	16786	B	0.997	2	22	23	Active
16818	17186	B	0.98839	2	23	24	Inference
17218	18098	B	0.98843	2	24	25	Institute
18274	18710	B	1.0	2	25	26	and
18780	19110	B	0.99999	2	26	27	having
19180	19462	B	0.94	2	27	28	a
19516	20002	B	0.71164	2	28	29	discussion
20066	20562	B	0.999	2	29	30	section
20626	21046	B	1.0	2	30	31	on
21148	22002	B	0.89609	2	31	32	semiotics
22066	22438	B	0.95	2	32	33	and
22524	23442	B	0.94239	2	33	34	semantics
23586	23942	B	0.99998	2	34	35	here
23996	24214	B	0.99999	2	35	36	with
24252	24882	B	0.91025	2	36	37	Lorena
24946	26098	B	0.15791	2	37	38	Ganzerla.
26274	26658	B	0.73679	2	38	39	We're
26674	26758	B	0.99841	2	39	40	going
26764	26838	B	1.0	2	40	41	to
26844	27014	B	0.99997	2	41	42	be
27052	27254	B	1.0	2	42	43	having
27292	27638	B	1.0	2	43	44	a
27724	28046	B	0.99737	2	44	45	fun
28108	28602	B	0.99571	2	45	46	discussion,
28666	28846	B	1.0	2	46	47	I
28868	29294	B	0.99997	2	47	48	hope.
29412	29646	B	0.99917	2	48	49	If
29668	29866	B	0.99874	2	49	50	you're
29898	30190	B	0.99997	2	50	51	watching
30260	30590	B	0.99993	2	51	52	Live,
30660	30894	B	0.99995	2	52	53	please
30932	31182	B	0.99996	2	53	54	feel
31236	31502	B	1.0	2	54	55	free
31556	31870	B	1.0	2	55	56	to
31940	32222	B	0.99996	2	56	57	write
32276	32542	B	0.99996	2	57	58	any
32596	33006	B	0.99999	2	58	59	questions
33108	33326	B	0.99985	2	59	60	in
33348	33486	B	1.0	2	60	61	the
33508	33694	B	0.99998	2	61	62	Live
33732	34458	B	0.99988	2	62	63	chat.
34634	35454	B	0.98131	3	1	64	If
35652	35966	B	1.0	3	2	65	you
35988	36174	B	0.99999	3	3	66	thought
36212	36414	B	0.99996	3	4	67	about
36452	36746	B	0.99993	3	5	68	joining
36778	36878	B	0.96	3	6	69	and
36884	36958	B	1.0	3	7	70	you
36964	37146	B	0.99324	3	8	71	weren't
37178	37374	B	0.99994	3	9	72	sure,
37412	37578	B	0.99984	3	10	73	it's
37594	37774	B	0.99988	3	11	74	not
37812	38014	B	0.99998	3	12	75	too
38052	38682	B	0.9998	3	13	76	late.
38826	39402	B	0.96906	3	14	77	Otherwise,
39466	39658	B	0.99896	3	15	78	we're
39674	39806	B	0.80845	3	16	79	going
39828	40158	B	1.0	3	17	80	to
40244	40554	B	0.99999	3	18	81	pick
40612	40786	B	0.9902	3	19	82	up
40808	40994	B	1.0	3	20	83	on
41032	41282	B	0.99992	3	21	84	some
41336	41554	B	0.9989	3	22	85	key
41592	42034	B	0.99997	3	23	86	points
42152	42626	B	0.99994	3	24	87	from
42728	42994	B	0.54	3	25	88	the
43032	43454	B	0.60093	3	26	89	lecture
43502	43714	B	1.0	3	27	90	and
43752	43906	B	1.0	3	28	91	on
43928	44114	B	0.55	3	29	92	the
44152	44862	B	0.99995	3	30	93	topic
45006	45746	B	0.99	3	31	94	and
45928	46274	B	0.99941	3	32	95	see
46312	46466	B	0.99852	3	33	96	where
46488	46626	B	0.99996	3	34	97	we
46648	46978	B	1.0	3	35	98	go.
47064	47746	B	0.90672	3	36	99	So,
47928	49090	B	0.95414	3	37	100	Lorena,
49430	50274	B	0.99996	3	38	101	welcome
50472	51220	B	0.99999	3	39	102	back
51910	52660	B	0.98	3	40	103	and
53690	54102	B	0.99757	3	41	104	however
54156	54326	B	0.79	3	42	105	you
54348	54486	B	0.996	3	43	106	want
54508	54598	B	1.0	3	44	107	to
54604	54870	B	0.9997	3	45	108	begin,
54940	55186	B	0.99554	3	46	109	let's
55218	55414	B	1.0	3	47	110	go
55452	55606	B	0.99997	3	48	111	from
55628	56200	B	0.99783	3	49	112	there.
57450	58246	C	0.56	3	50	113	Okay.
58428	58918	C	0.99977	3	51	114	Hello.
59004	59302	C	0.99998	4	1	115	Thank
59356	59718	C	1.0	4	2	116	you,
59804	60710	C	0.29438	4	3	117	Daniel.
62170	62630	C	0.99764	4	4	118	So
62700	63122	C	0.99371	4	5	119	let's
63186	63414	C	0.99998	4	6	120	try
63452	63990	C	1.0	4	7	121	to
64140	64674	C	0.99672	4	8	122	recap
64722	64838	C	1.0	4	9	123	a
64844	65014	C	0.99999	4	10	124	little
65052	65602	C	0.99998	4	11	125	bit
65756	66122	C	0.9997	4	12	126	where
66176	66490	C	0.99998	4	13	127	we
66560	67178	C	1.0	4	14	128	left
67344	68060	C	0.99991	4	15	129	off
69070	69482	C	0.61898	4	16	130	during
69536	69754	C	0.91	4	17	131	the
69792	70490	C	0.91614	4	18	132	lecture
72990	73354	C	0.99999	4	19	133	just
73392	73642	C	1.0	4	20	134	to
73696	74230	C	0.6929	4	21	135	remind
74310	74746	C	1.0	4	22	136	us
74848	75210	C	0.99818	4	23	137	where
75280	75562	C	0.99999	4	24	138	we
75616	75978	C	0.99984	4	25	139	were.
76064	76314	C	0.99911	4	26	140	Like,
76352	76650	C	0.99	4	27	141	my
76720	77340	C	1.0	4	28	142	point,
78050	78414	C	0.99802	4	29	143	what
78452	78606	C	1.0	4	30	144	I
78628	78814	C	0.99999	4	31	145	was
78852	79102	C	1.0	4	32	146	trying
79156	79374	C	1.0	4	33	147	to
79412	80510	C	0.8786	4	34	148	articulate
80930	81342	C	0.99996	4	35	149	was
81396	81566	C	1.0	4	36	150	the
81588	81870	C	1.0	4	37	151	idea
81940	82560	C	1.0	4	38	152	of
83970	84334	C	0.9636	4	39	153	what
84372	84574	C	0.99994	4	40	154	does
84612	84814	C	1.0	4	41	155	it
84852	85102	C	0.99999	4	42	156	mean
85156	85374	C	1.0	4	43	157	to
85412	85614	C	0.99999	4	44	158	talk
85652	85854	C	1.0	4	45	159	about
85892	86046	C	0.83	4	46	160	a
86068	86346	C	0.99961	4	47	161	formal
86378	87194	C	0.62923	4	48	162	semantics
87322	87566	C	1.0	4	49	163	in
87588	87726	C	0.98	4	50	164	a
87748	87982	C	0.99999	4	51	165	way
88036	88302	C	1.0	4	52	166	that
88356	88526	C	1.0	4	53	167	is
88548	88782	C	0.99999	4	54	168	not
88836	89440	C	0.99997	4	55	169	really
90950	91614	C	0.86472	4	56	170	loaded
91662	92260	C	0.99999	4	57	171	because
92630	93038	C	0.52801	4	58	172	it's
93054	93378	C	0.85	4	59	173	an
93464	94002	C	0.99989	4	60	174	interesting
94136	94866	C	0.99992	4	61	175	thought.
95048	95586	C	0.95336	4	62	176	Like
95688	96050	C	1.0	4	63	177	to
96120	96498	C	1.0	4	64	178	have
96584	97220	C	1.0	4	65	179	a
98310	99054	C	0.61802	4	66	180	semantics
99102	99218	C	1.0	4	67	181	that
99224	99394	C	0.84	4	68	182	is
99432	99634	C	0.99999	4	69	183	actually
99672	100114	C	0.9998	4	70	184	only
100232	100782	C	0.61128	4	71	185	formal,
100846	101314	C	0.99978	4	72	186	right?
101432	101714	C	0.99999	4	73	187	In
101752	102190	C	0.76003	4	74	188	principle,
102270	102514	C	1.0	4	75	189	it
102552	102754	C	0.99428	4	76	190	would
102792	103380	C	1.0	4	77	191	be
104570	105122	C	0.86272	4	78	192	relative
105186	105414	C	0.78	4	79	193	to
105452	106230	C	0.92848	4	80	194	meaningful
108570	108934	C	0.71	4	81	195	to
108972	109410	C	0.62153	4	82	196	meaning,
109490	110214	C	0.95907	4	83	197	right?
110412	110918	C	0.67556	5	1	198	In
111004	111254	C	0.73	5	2	199	the
111292	111762	C	0.99262	5	3	200	notion
