key	relevance
Technology&Computing>ArtificialIntelligence	1.0
Technology&Computing>Computing>ProgrammingLanguages	0.3991476893424988
Technology&Computing>Computing	0.17669305205345154
Science	0.13541458547115326
Education>EducationalAssessment	0.11340317130088806
Education>EducationalAssessment>StandardizedTesting	0.1040738970041275
Hobbies&Interests>ParanormalPhenomena	0.08163439482450485
MedicalHealth>DiseasesAndConditions>BrainAndNervousSystemDisorders	0.06372680515050888
Automotive>AutoType>DriverlessCars	0.06153569743037224
Technology&Computing>Computing>Internet>Search	0.05542905628681183
Technology&Computing	0.052382469177246094
MedicalHealth>DiseasesAndConditions>EyeAndVisionConditions	0.0459105521440506
Technology&Computing>Robotics	0.04034891724586487
Religion&Spirituality>Agnosticism	0.04013432189822197
Education>LanguageLearning	0.038420066237449646
NewsAndPolitics>Politics>PoliticalIssues	0.030348889529705048
Technology&Computing>Computing>ComputerSoftwareAndApplications>DesktopPublishing	0.027486493811011314
BusinessAndFinance>Business>ExecutiveLeadership&Management	0.027450665831565857
EventsAndAttractions>PoliticalEvent	0.025987952947616577
Technology&Computing>Computing>ComputerSoftwareAndApplications>OperatingSystems	0.02528446912765503
