start	end	speaker	confidence	paragNum	paragWordCount	wordPos	text
28100	28312	A	1.0	1	1	1	Hello
28366	28584	A	1.0	1	2	2	and
28622	28872	A	0.99997	1	3	3	welcome,
28926	29384	A	0.99988	1	4	4	everyone.
29502	29796	A	0.98593	1	5	5	It's
29828	30072	A	0.57376	1	6	6	ActInf
30126	30644	A	0.36993	1	7	7	Lab
30692	31172	A	0.9978	1	8	8	Livestream
31236	31512	A	0.99984	1	9	9	number
31566	33000	A	0.99	1	10	10	44.2,
33150	33464	A	1.0	1	11	11	and
33502	33716	A	0.99338	1	12	12	it's
33748	33992	A	1.0	1	13	13	May
34046	34600	A	0.83	1	14	14	25,
34670	36010	A	0.81	1	15	15	2022.
36620	37032	A	0.99998	1	16	16	Welcome
37086	37304	A	1.0	1	17	17	to
37342	37496	A	1.0	1	18	18	the
37518	37752	A	0.54982	1	19	19	ActInf
37806	38644	A	0.54524	1	20	20	lab.
38772	39076	A	0.97769	1	21	21	We're
39108	39256	A	1.0	1	22	22	a
39278	40084	A	0.99848	1	23	23	participatory
40132	40488	A	1.0	1	24	24	online
40574	41016	A	0.99997	1	25	25	lab
41118	41336	A	0.9994	1	26	26	that
41358	41544	A	1.0	1	27	27	is
41582	42308	A	0.99913	1	28	28	communicating,
42404	42760	A	0.99746	1	29	29	learning,
42830	43064	A	1.0	1	30	30	and
43102	43700	A	0.99845	1	31	31	practicing
43780	44196	A	0.92588	1	32	32	applied
44228	44516	A	0.99448	1	33	33	active
44548	45268	A	0.42955	1	34	34	inference.
45444	45736	A	1.0	1	35	35	You
45758	45896	A	0.99913	1	36	36	can
45918	46056	A	0.99995	1	37	37	find
46078	46216	A	1.0	1	38	38	us
46238	46328	A	1.0	1	39	39	at
46334	46456	A	1.0	1	40	40	the
46478	46708	A	0.98556	1	41	41	links
46724	46808	A	0.99936	1	42	42	on
46814	46984	A	0.99646	1	43	43	this
47022	47748	A	0.99882	1	44	44	slide.
47924	48216	A	0.99986	2	1	45	This
48238	48376	A	0.93	2	2	46	is
48398	48536	A	0.73	2	3	47	a
48558	48888	A	0.99888	2	4	48	recorded
48974	49176	A	0.96	2	5	49	and
49198	49336	A	0.91324	2	6	50	an
49358	49876	A	0.97231	2	7	51	archived
49908	50420	A	0.84648	2	8	52	Livestream,
50500	50744	A	0.99953	2	9	53	so
50782	51032	A	0.99969	2	10	54	please
51086	51304	A	0.99916	2	11	55	provide
51342	51844	A	0.99899	2	12	56	feedback
51892	52056	A	0.9995	2	13	57	so
52078	52168	A	0.99825	2	14	58	we
52174	52296	A	0.9996	2	15	59	can
52318	52620	A	0.99881	2	16	60	improve
52660	52864	A	0.85863	2	17	61	our
52902	53490	A	0.99997	2	18	62	work.
53860	54224	A	0.99998	2	19	63	All
54262	54844	A	0.79173	2	20	64	backgrounds
54892	55056	A	1.0	2	21	65	and
55078	55660	A	0.9821	2	22	66	perspectives
55740	55936	A	0.99963	2	23	67	are
55958	56432	A	0.99999	2	24	68	welcome,
56566	56864	A	1.0	2	25	69	and
56902	57116	A	0.6773	2	26	70	we'll
57148	57392	A	0.99988	2	27	71	be
57446	57932	A	0.95955	2	28	72	following
57996	58272	A	0.99975	2	29	73	video
58326	58940	A	0.8347	2	30	74	etiquette
59020	59216	A	0.99992	2	31	75	for
59238	59424	A	0.99329	2	32	76	live
59462	60160	A	0.99698	2	33	77	streams.
60820	61088	A	0.98874	2	34	78	If
61094	61216	A	0.76	2	35	79	you
61238	61376	A	0.99969	2	36	80	want
61398	61488	A	1.0	2	37	81	to
61494	61664	A	0.99997	2	38	82	learn
61702	61952	A	1.0	2	39	83	more
62006	62224	A	1.0	2	40	84	about
62262	62416	A	1.0	2	41	85	the
62438	62624	A	0.99508	2	42	86	live
62662	63132	A	0.98982	2	43	87	streams
63196	63616	A	0.99984	2	44	88	or
63718	63984	A	0.99995	2	45	89	any
64022	64368	A	0.99984	2	46	90	other
64454	64956	A	0.99466	2	47	91	projects
64988	65184	A	1.0	2	48	92	at
65222	65516	A	0.83304	2	49	93	Active
65548	66408	A	0.31328	2	50	94	Inferencelab,
66524	66804	A	1.0	2	51	95	check
66842	66996	A	0.97925	2	52	96	out
67018	68740	A	0.47	2	53	97	activeinference.org.
69800	70212	A	0.99376	2	54	98	Okay,
70266	70676	A	0.87205	2	55	99	today
70778	71236	A	0.90359	2	56	100	in
71338	72580	A	1.0	2	57	101	44.2,
72650	72884	A	0.95498	2	58	102	we
72922	73124	A	0.99995	2	59	103	are
73162	73364	A	0.99995	2	60	104	in
73402	73700	A	0.99998	2	61	105	our
73770	74100	A	1.0	2	62	106	third
74170	74944	A	0.9946	2	63	107	discussion
75072	75460	A	0.99999	2	64	108	around
75530	75716	A	1.0	2	65	109	the
75738	76404	A	0.79133	2	66	110	paper,
76602	77344	A	0.99105	2	67	111	therapeutic
77392	77824	A	0.99992	2	68	112	alliance
77872	78084	A	0.99992	2	69	113	as
